Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
01/12/1999,AQS,60292004,7,58.0,ug/m3 LC,152,Taft-College,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,12540,"Bakersfield, CA",6,California,29,Kern,35.142189086,-119.46095239
01/30/1999,AQS,60292004,7,9.0,ug/m3 LC,38,Taft-College,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,12540,"Bakersfield, CA",6,California,29,Kern,35.142189086,-119.46095239
02/15/1999,AQS,60292004,7,7.0,ug/m3 LC,29,Taft-College,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,12540,"Bakersfield, CA",6,California,29,Kern,35.142189086,-119.46095239
02/18/1999,AQS,60292004,7,4.0,ug/m3 LC,17,Taft-College,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,12540,"Bakersfield, CA",6,California,29,Kern,35.142189086,-119.46095239
02/24/1999,AQS,60292004,7,6.0,ug/m3 LC,25,Taft-College,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,12540,"Bakersfield, CA",6,California,29,Kern,35.142189086,-119.46095239
02/27/1999,AQS,60292004,7,12.0,ug/m3 LC,50,Taft-College,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,12540,"Bakersfield, CA",6,California,29,Kern,35.142189086,-119.46095239
03/03/1999,AQS,60292004,7,10.0,ug/m3 LC,42,Taft-College,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,12540,"Bakersfield, CA",6,California,29,Kern,35.142189086,-119.46095239
03/13/1999,AQS,60292004,7,4.0,ug/m3 LC,17,Taft-College,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,12540,"Bakersfield, CA",6,California,29,Kern,35.142189086,-119.46095239
03/19/1999,AQS,60292004,7,6.0,ug/m3 LC,25,Taft-College,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,12540,"Bakersfield, CA",6,California,29,Kern,35.142189086,-119.46095239
04/12/1999,AQS,60292004,7,3.0,ug/m3 LC,13,Taft-College,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,12540,"Bakersfield, CA",6,California,29,Kern,35.142189086,-119.46095239
04/18/1999,AQS,60292004,7,9.0,ug/m3 LC,38,Taft-College,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,12540,"Bakersfield, CA",6,California,29,Kern,35.142189086,-119.46095239
04/20/1999,AQS,60292004,7,7.0,ug/m3 LC,29,Taft-College,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,12540,"Bakersfield, CA",6,California,29,Kern,35.142189086,-119.46095239
04/22/1999,AQS,60292004,7,5.0,ug/m3 LC,21,Taft-College,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,12540,"Bakersfield, CA",6,California,29,Kern,35.142189086,-119.46095239
04/24/1999,AQS,60292004,7,4.0,ug/m3 LC,17,Taft-College,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,12540,"Bakersfield, CA",6,California,29,Kern,35.142189086,-119.46095239
04/29/1999,AQS,60292004,7,6.0,ug/m3 LC,25,Taft-College,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,12540,"Bakersfield, CA",6,California,29,Kern,35.142189086,-119.46095239
05/06/1999,AQS,60292004,7,7.0,ug/m3 LC,29,Taft-College,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,12540,"Bakersfield, CA",6,California,29,Kern,35.142189086,-119.46095239
05/12/1999,AQS,60292004,7,5.0,ug/m3 LC,21,Taft-College,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,12540,"Bakersfield, CA",6,California,29,Kern,35.142189086,-119.46095239
05/18/1999,AQS,60292004,7,6.0,ug/m3 LC,25,Taft-College,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,12540,"Bakersfield, CA",6,California,29,Kern,35.142189086,-119.46095239
05/30/1999,AQS,60292004,7,7.0,ug/m3 LC,29,Taft-College,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,12540,"Bakersfield, CA",6,California,29,Kern,35.142189086,-119.46095239
06/11/1999,AQS,60292004,7,6.0,ug/m3 LC,25,Taft-College,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,12540,"Bakersfield, CA",6,California,29,Kern,35.142189086,-119.46095239
06/17/1999,AQS,60292004,7,8.0,ug/m3 LC,33,Taft-College,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,12540,"Bakersfield, CA",6,California,29,Kern,35.142189086,-119.46095239
06/23/1999,AQS,60292004,7,8.0,ug/m3 LC,33,Taft-College,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,12540,"Bakersfield, CA",6,California,29,Kern,35.142189086,-119.46095239
06/29/1999,AQS,60292004,7,7.0,ug/m3 LC,29,Taft-College,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,12540,"Bakersfield, CA",6,California,29,Kern,35.142189086,-119.46095239
07/05/1999,AQS,60292004,7,7.0,ug/m3 LC,29,Taft-College,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,12540,"Bakersfield, CA",6,California,29,Kern,35.142189086,-119.46095239
07/11/1999,AQS,60292004,7,10.0,ug/m3 LC,42,Taft-College,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,12540,"Bakersfield, CA",6,California,29,Kern,35.142189086,-119.46095239
07/17/1999,AQS,60292004,7,7.0,ug/m3 LC,29,Taft-College,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,12540,"Bakersfield, CA",6,California,29,Kern,35.142189086,-119.46095239
07/23/1999,AQS,60292004,7,10.0,ug/m3 LC,42,Taft-College,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,12540,"Bakersfield, CA",6,California,29,Kern,35.142189086,-119.46095239
07/29/1999,AQS,60292004,7,6.0,ug/m3 LC,25,Taft-College,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,12540,"Bakersfield, CA",6,California,29,Kern,35.142189086,-119.46095239
08/04/1999,AQS,60292004,7,5.0,ug/m3 LC,21,Taft-College,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,12540,"Bakersfield, CA",6,California,29,Kern,35.142189086,-119.46095239
08/10/1999,AQS,60292004,7,7.0,ug/m3 LC,29,Taft-College,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,12540,"Bakersfield, CA",6,California,29,Kern,35.142189086,-119.46095239
08/16/1999,AQS,60292004,7,7.0,ug/m3 LC,29,Taft-College,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,12540,"Bakersfield, CA",6,California,29,Kern,35.142189086,-119.46095239
08/22/1999,AQS,60292004,7,9.0,ug/m3 LC,38,Taft-College,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,12540,"Bakersfield, CA",6,California,29,Kern,35.142189086,-119.46095239
08/28/1999,AQS,60292004,7,8.0,ug/m3 LC,33,Taft-College,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,12540,"Bakersfield, CA",6,California,29,Kern,35.142189086,-119.46095239
09/03/1999,AQS,60292004,7,10.0,ug/m3 LC,42,Taft-College,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,12540,"Bakersfield, CA",6,California,29,Kern,35.142189086,-119.46095239
09/09/1999,AQS,60292004,7,12.0,ug/m3 LC,50,Taft-College,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,12540,"Bakersfield, CA",6,California,29,Kern,35.142189086,-119.46095239
09/15/1999,AQS,60292004,7,14.0,ug/m3 LC,55,Taft-College,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,12540,"Bakersfield, CA",6,California,29,Kern,35.142189086,-119.46095239
09/21/1999,AQS,60292004,7,13.0,ug/m3 LC,53,Taft-College,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,12540,"Bakersfield, CA",6,California,29,Kern,35.142189086,-119.46095239
09/27/1999,AQS,60292004,7,9.0,ug/m3 LC,38,Taft-College,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,12540,"Bakersfield, CA",6,California,29,Kern,35.142189086,-119.46095239
10/03/1999,AQS,60292004,7,17.0,ug/m3 LC,61,Taft-College,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,12540,"Bakersfield, CA",6,California,29,Kern,35.142189086,-119.46095239
10/09/1999,AQS,60292004,7,11.0,ug/m3 LC,46,Taft-College,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,12540,"Bakersfield, CA",6,California,29,Kern,35.142189086,-119.46095239
10/15/1999,AQS,60292004,7,13.0,ug/m3 LC,53,Taft-College,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,12540,"Bakersfield, CA",6,California,29,Kern,35.142189086,-119.46095239
10/21/1999,AQS,60292004,7,31.0,ug/m3 LC,91,Taft-College,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,12540,"Bakersfield, CA",6,California,29,Kern,35.142189086,-119.46095239
10/27/1999,AQS,60292004,7,21.0,ug/m3 LC,70,Taft-College,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,12540,"Bakersfield, CA",6,California,29,Kern,35.142189086,-119.46095239
11/02/1999,AQS,60292004,7,17.0,ug/m3 LC,61,Taft-College,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,12540,"Bakersfield, CA",6,California,29,Kern,35.142189086,-119.46095239
11/08/1999,AQS,60292004,7,3.0,ug/m3 LC,13,Taft-College,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,12540,"Bakersfield, CA",6,California,29,Kern,35.142189086,-119.46095239
11/14/1999,AQS,60292004,7,48.0,ug/m3 LC,132,Taft-College,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,12540,"Bakersfield, CA",6,California,29,Kern,35.142189086,-119.46095239
11/20/1999,AQS,60292004,7,10.0,ug/m3 LC,42,Taft-College,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,12540,"Bakersfield, CA",6,California,29,Kern,35.142189086,-119.46095239
11/26/1999,AQS,60292004,7,40.0,ug/m3 LC,112,Taft-College,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,12540,"Bakersfield, CA",6,California,29,Kern,35.142189086,-119.46095239
12/02/1999,AQS,60292004,7,5.0,ug/m3 LC,21,Taft-College,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,12540,"Bakersfield, CA",6,California,29,Kern,35.142189086,-119.46095239
12/08/1999,AQS,60292004,7,12.0,ug/m3 LC,50,Taft-College,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,12540,"Bakersfield, CA",6,California,29,Kern,35.142189086,-119.46095239
12/14/1999,AQS,60292004,7,23.0,ug/m3 LC,74,Taft-College,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,12540,"Bakersfield, CA",6,California,29,Kern,35.142189086,-119.46095239
12/23/1999,AQS,60292004,7,52.0,ug/m3 LC,142,Taft-College,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,12540,"Bakersfield, CA",6,California,29,Kern,35.142189086,-119.46095239
12/26/1999,AQS,60292004,7,41.0,ug/m3 LC,115,Taft-College,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,12540,"Bakersfield, CA",6,California,29,Kern,35.142189086,-119.46095239
01/07/2000,AQS,60292004,7,52.0,ug/m3 LC,142,Taft-College,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,12540,"Bakersfield, CA",6,California,29,Kern,35.142189086,-119.46095239
01/11/2000,AQS,60292004,7,17.0,ug/m3 LC,61,Taft-College,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,12540,"Bakersfield, CA",6,California,29,Kern,35.142189086,-119.46095239
01/13/2000,AQS,60292004,7,26.0,ug/m3 LC,80,Taft-College,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,12540,"Bakersfield, CA",6,California,29,Kern,35.142189086,-119.46095239
01/19/2000,AQS,60292004,7,6.0,ug/m3 LC,25,Taft-College,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,12540,"Bakersfield, CA",6,California,29,Kern,35.142189086,-119.46095239
01/25/2000,AQS,60292004,7,6.0,ug/m3 LC,25,Taft-College,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,12540,"Bakersfield, CA",6,California,29,Kern,35.142189086,-119.46095239
01/31/2000,AQS,60292004,7,7.0,ug/m3 LC,29,Taft-College,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,12540,"Bakersfield, CA",6,California,29,Kern,35.142189086,-119.46095239
02/06/2000,AQS,60292004,7,11.0,ug/m3 LC,46,Taft-College,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,12540,"Bakersfield, CA",6,California,29,Kern,35.142189086,-119.46095239
02/12/2000,AQS,60292004,7,3.0,ug/m3 LC,13,Taft-College,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,12540,"Bakersfield, CA",6,California,29,Kern,35.142189086,-119.46095239
