"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2024","AirNow","060290010","3","31.3","ug/m3 LC","91","Bakersfield-Golden / M St","1","100.0000","88101","PM2.5 - Local Conditions","12540","Bakersfield, CA","06","California","029","Kern","35.385574","-119.015009"
"01/02/2024","AirNow","060290010","3","27.3","ug/m3 LC","83","Bakersfield-Golden / M St","1","100.0000","88101","PM2.5 - Local Conditions","12540","Bakersfield, CA","06","California","029","Kern","35.385574","-119.015009"
"01/03/2024","AirNow","060290010","3","8.4","ug/m3 LC","35","Bakersfield-Golden / M St","1","100.0000","88101","PM2.5 - Local Conditions","12540","Bakersfield, CA","06","California","029","Kern","35.385574","-119.015009"
"01/04/2024","AirNow","060290010","3","8.5","ug/m3 LC","35","Bakersfield-Golden / M St","1","100.0000","88101","PM2.5 - Local Conditions","12540","Bakersfield, CA","06","California","029","Kern","35.385574","-119.015009"
"01/05/2024","AirNow","060290010","3","13.2","ug/m3 LC","53","Bakersfield-Golden / M St","1","100.0000","88101","PM2.5 - Local Conditions","12540","Bakersfield, CA","06","California","029","Kern","35.385574","-119.015009"
"01/06/2024","AirNow","060290010","3","16.5","ug/m3 LC","60","Bakersfield-Golden / M St","1","100.0000","88101","PM2.5 - Local Conditions","12540","Bakersfield, CA","06","California","029","Kern","35.385574","-119.015009"
"01/07/2024","AirNow","060290010","3","9.4","ug/m3 LC","39","Bakersfield-Golden / M St","1","100.0000","88101","PM2.5 - Local Conditions","12540","Bakersfield, CA","06","California","029","Kern","35.385574","-119.015009"
"01/08/2024","AirNow","060290010","3","8.9","ug/m3 LC","37","Bakersfield-Golden / M St","1","100.0000","88101","PM2.5 - Local Conditions","12540","Bakersfield, CA","06","California","029","Kern","35.385574","-119.015009"
"01/09/2024","AirNow","060290010","3","11.9","ug/m3 LC","50","Bakersfield-Golden / M St","1","100.0000","88101","PM2.5 - Local Conditions","12540","Bakersfield, CA","06","California","029","Kern","35.385574","-119.015009"
"01/10/2024","AirNow","060290010","3","13.5","ug/m3 LC","54","Bakersfield-Golden / M St","1","100.0000","88101","PM2.5 - Local Conditions","12540","Bakersfield, CA","06","California","029","Kern","35.385574","-119.015009"
